Quarterly Census of Employment and Wages,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,ENU421011051012,,,,,,,,,,,,
Series Title:,"All Employees in Private Construction for All establishment sizes in Philadelphia County, Pennsylvania, NSA",,,,,,,,,,,,
State:,Pennsylvania,,,,,,,,,,,,
Area:,"Philadelphia County, Pennsylvania",,,,,,,,,,,,
Industry:,Construction,,,,,,,,,,,,
Owner:,Private,,,,,,,,,,,,
Size:,All establishment sizes,,,,,,,,,,,,
Type:,All Employees,,,,,,,,,,,,
Years:,2001 to 2022,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2001,12503,12593,12907,13442,13405,13133,13050,13149,14013,13441,12887,12458,13082
2002,11300,11227,11342,11650,11888,12316,12649,12692,12473,12517,12281,12050,12032
2003,11135,10912,11234,11541,11807,12090,12129,12049,11901,12208,12151,11567,11727
2004,10221,10136,10375,10459,10972,11018,11103,10945,11062,11397,11207,10891,10816
2005,10489,10362,10403,11440,11973,11827,12033,12074,12120,12218,12381,12307,11636
2006,11419,11536,11653,11902,13093,12376,12254,12317,12247,12162,12151,11505,12051
2007,10860,11004,11257,11247,11403,11695,11821,11898,11692,12209,12038,11511,11553
2008,11295,11342,11566,11884,12342,12140,11949,12148,11672,11620,11241,10719,11660
2009,9491,9674,9378,9370,9683,9913,,,,,,,9687
2010,8906,8995,8987,9350,9549,9734,10038,9847,9651,9772,9817,9311,9496
2011,8584,8643,8679,9449,10036,9692,9573,9853,9863,9842,9874,9093,9432
2012,8781,9020,9124,9356,9396,9962,9643,9828,10558,10165,9878,9519,9603
2013,,,,10071,10132,10318,10072,10298,10017,,,,9868
2014,9209,9568,9757,10212,10437,10604,10923,10965,10895,11182,11246,10834,10486
2015,10154,10637,10429,10439,10817,11453,11031,11041,11122,11202,11051,11238,10885
2016,10523,10885,10851,11104,11603,11591,11770,11396,11450,11496,11601,11414,11307
2017,11063,11350,10848,10818,12128,11613,11368,11349,11446,11755,11624,11245,11384
2018,,,,12178,12159,12320,12020,12090,12307,,,,12012
2019,11343,11547,11371,11991,12251,12052,12039,11793,12167,11957,12167,11324,11834
2020,,,,6562,9567,10317,10594,10793,10868,,,,10392
2021,10632,10387,10658,11222,11431,11440,11669,11757,11664,,,,
2022,10930,10899,11356,11748,11936,12195,12244,12092,12700,,,,